,id,power,x,y,parent,is_alive,TDMA,energy
0,0,"<Power Type=External, Energy=2000 mJ>",150.0,100.0,[],True,0,4
1,1,"<Power Type=Battery, Energy=-710 mJ>",10,10,[node2],False,5,-710.7093749999995
2,2,"<Power Type=Battery, Energy=416 mJ>",10,60,[],True,1,416.0749999999998
3,3,"<Power Type=Battery, Energy=-994 mJ>",30,11,[node2],False,2,-994.9843749999999
4,4,"<Power Type=Battery, Energy=468 mJ>",43,35,[node2],True,3,468.953125
5,5,"<Power Type=Battery, Energy=-718 mJ>",260,30,[node8],False,4,-718.7937499999998
6,6,"<Power Type=Battery, Energy=612 mJ>",270,50,[node8],True,1,612.0281250000011
7,7,"<Power Type=Battery, Energy=-6 mJ>",259,72,[node6],False,2,-6.462500000000382
8,8,"<Power Type=Battery, Energy=-328 mJ>",241,47,[node6],False,3,-328.93125
9,9,"<Power Type=Battery, Energy=-177 mJ>",260,200,[node11],False,3,-177.78437499999933
10,10,"<Power Type=Battery, Energy=784 mJ>",290,200,[node11],True,1,784.18125
11,11,"<Power Type=Battery, Energy=-241 mJ>",280,220,[node10],False,2,-241.79375000000002
12,12,"<Power Type=Battery, Energy=475 mJ>",20,200,[node17],True,1,475.7875
13,13,"<Power Type=Battery, Energy=-194 mJ>",10,160,[node17],False,2,-194.28750000000016
14,14,"<Power Type=Battery, Energy=440 mJ>",13,183,[node17],True,3,440.203125
15,15,"<Power Type=Battery, Energy=1056 mJ>",50,200,[node13],True,7,1056.2468750000007
16,16,"<Power Type=Battery, Energy=-166 mJ>",29,189,[node17],False,4,-166.84687499999978
17,17,"<Power Type=Battery, Energy=-101 mJ>",35,204,[node13],False,5,-101.59687500000008
18,18,"<Power Type=Battery, Energy=-71 mJ>",31,172,[node17],False,6,-71.79687500000011
19,19,"<Power Type=Battery, Energy=182 mJ>",30,50,[node2],True,4,182.63437499999907
20,20,"<Power Type=Battery, Energy=244 mJ>",130,20,[],True,1,244.70000000000044
21,21,"<Power Type=Battery, Energy=760 mJ>",135,2,[node20],True,2,760.378125
22,22,"<Power Type=Battery, Energy=223 mJ>",175,5,[node20],True,3,223.1500000000003
