,id,power,x,y,parent,is_alive,TDMA,energy
0,0,"<Power Type=External, Energy=2000 mJ>",150.0,100.0,[],True,0,4
1,1,"<Power Type=Battery, Energy=1826 mJ>",10,10,[],True,5,1826.8531250000003
2,2,"<Power Type=Battery, Energy=1804 mJ>",10,60,[node1],True,1,1804.496875
3,3,"<Power Type=Battery, Energy=1823 mJ>",30,11,[node1],True,2,1823.203125
4,4,"<Power Type=Battery, Energy=1804 mJ>",43,35,[node1],True,3,1804.7250000000001
5,5,"<Power Type=Battery, Energy=1870 mJ>",260,30,[],True,4,1870.653125
6,6,"<Power Type=Battery, Energy=1848 mJ>",270,50,[node5],True,1,1848.525
7,7,"<Power Type=Battery, Energy=1867 mJ>",259,72,[node5],True,2,1867.003125
8,8,"<Power Type=Battery, Energy=1867 mJ>",241,47,[node5],True,3,1867.23125
9,9,"<Power Type=Battery, Energy=1913 mJ>",260,200,[],True,3,1913.084375
10,10,"<Power Type=Battery, Energy=1934 mJ>",290,200,[node9],True,1,1934.071875
11,11,"<Power Type=Battery, Energy=1890 mJ>",280,220,[node9],True,2,1890.5
12,12,"<Power Type=Battery, Energy=1714 mJ>",20,200,[node15],True,1,1714.3875
13,13,"<Power Type=Battery, Energy=1732 mJ>",10,160,[node15],True,2,1732.409375
14,14,"<Power Type=Battery, Energy=1714 mJ>",13,183,[node15],True,3,1714.3875
15,15,"<Power Type=Battery, Energy=1736 mJ>",50,200,[],True,7,1736.7437499999999
16,16,"<Power Type=Battery, Energy=1714 mJ>",29,189,[node15],True,4,1714.1593750000002
17,17,"<Power Type=Battery, Energy=1739 mJ>",35,204,[node15],True,5,1739.025
18,18,"<Power Type=Battery, Energy=1714 mJ>",31,172,[node15],True,6,1714.3875
19,19,"<Power Type=Battery, Energy=1804 mJ>",30,50,[node1],True,4,1804.040625
20,20,"<Power Type=Battery, Energy=1889 mJ>",130,20,[node22],True,1,1889.359375
21,21,"<Power Type=Battery, Energy=1889 mJ>",135,2,[node22],True,2,1889.359375
22,22,"<Power Type=Battery, Energy=1911 mJ>",175,5,[],True,3,1911.94375
