,id,power,x,y,parent,is_alive,TDMA,energy
0,0,"<Power Type=External, Energy=2000 mJ>",150.0,100.0,[],True,0,4
1,1,"<Power Type=Battery, Energy=1746 mJ>",10,10,[node3],True,5,1746.1194999999893
2,2,"<Power Type=Battery, Energy=1896 mJ>",10,60,[node3],True,1,1896.12490625
3,3,"<Power Type=Battery, Energy=1496 mJ>",30,11,[],True,2,1496.0901250000352
4,4,"<Power Type=Battery, Energy=1895 mJ>",43,35,[node3],True,3,1895.625937499999
5,5,"<Power Type=Battery, Energy=1720 mJ>",260,30,[node7],True,4,1720.2531249999727
6,6,"<Power Type=Battery, Energy=1877 mJ>",270,50,[node7],True,1,1877.198531250008
7,7,"<Power Type=Battery, Energy=1668 mJ>",259,72,[],True,2,1668.9180937500175
8,8,"<Power Type=Battery, Energy=1686 mJ>",241,47,[node7],True,3,1686.0815312500117
9,9,"<Power Type=Battery, Energy=1741 mJ>",260,200,[node11],True,3,1741.5411249999831
10,10,"<Power Type=Battery, Energy=1894 mJ>",290,200,[node11],True,1,1894.5729687499988
11,11,"<Power Type=Battery, Energy=1747 mJ>",280,220,[],True,2,1747.0682812500322
12,12,"<Power Type=Battery, Energy=1876 mJ>",20,200,[node16],True,1,1876.4980625000046
13,13,"<Power Type=Battery, Energy=1772 mJ>",10,160,[node16],True,2,1772.6351875000018
14,14,"<Power Type=Battery, Energy=1876 mJ>",13,183,[node16],True,3,1876.0259687500038
15,15,"<Power Type=Battery, Energy=1912 mJ>",50,200,[node16],True,7,1912.4068437499886
16,16,"<Power Type=Battery, Energy=1466 mJ>",29,189,[],True,4,1466.2105937500412
17,17,"<Power Type=Battery, Energy=1875 mJ>",35,204,[node16],True,5,1875.9273437500028
18,18,"<Power Type=Battery, Energy=1498 mJ>",31,172,[node16],True,6,1498.8190000000232
19,19,"<Power Type=Battery, Energy=1792 mJ>",30,50,[node3],True,4,1792.862218750001
20,20,"<Power Type=Battery, Energy=1895 mJ>",130,20,[node21],True,1,1895.4137812500012
21,21,"<Power Type=Battery, Energy=1829 mJ>",135,2,[],True,2,1829.7014375000147
22,22,"<Power Type=Battery, Energy=1844 mJ>",175,5,[node21],True,3,1844.6309999999912
